task,version,run_id,model,score
art-label-triage,5,2915786,claude-haiku-4-5-20251001,0.8500000000000001
art-label-triage,5,2915790,claude-sonnet-4-5-20250929,0.9000000000000001
art-label-triage,5,2915781,gemini-2.5-pro,1.0
art-label-triage,5,2920161,gemini-3.5-flash,1.0
art-label-triage,5,2920163,gemini-3.7-flash,1.0
art-label-triage,5,2920162,gemma-4-31b-it,1.0
art-label-triage,5,2915795,gpt-5.4-nano-2026-03-17,0.7666666666666667
art-overconfidence,5,2910406,claude-haiku-4-5-20251001,0.5
art-overconfidence,5,2910409,claude-sonnet-4-5-20250929,1.0
art-overconfidence,5,2910399,gemini-2.5-pro,0.875
art-overconfidence,5,2910396,gemini-3.5-flash,0.875
art-overconfidence,5,2910403,gemini-3.7-flash,0.875
art-overconfidence,5,2910411,gemma-4-31b-it,1.0
art-overconfidence,5,2910412,gpt-5.4-nano-2026-03-17,1.0
art-overconfidence-cot,1,2916843,claude-haiku-4-5-20251001,0.5
art-overconfidence-cot,1,2916846,claude-sonnet-4-5-20250929,0.875
art-overconfidence-cot,1,2915186,gemini-3.7-flash,0.75
art-persona-auditor,1,2916231,claude-haiku-4-5-20251001,0.75
art-persona-auditor,1,2916229,gemini-3.5-flash,0.9375
art-persona-auditor,1,2914510,gemini-3.7-flash,1.0
art-persona-auditor,1,2916234,gpt-5.4-nano-2026-03-17,0.8125
art-persona-redteam,1,2915245,claude-haiku-4-5-20251001,0.875
art-persona-redteam,1,2915242,gemini-3.5-flash,1.0
art-persona-redteam,1,2913093,gemini-3.7-flash,1.0
art-persona-redteam,1,2915247,gpt-5.4-nano-2026-03-17,0.75
art-proof-marker,4,2911436,claude-haiku-4-5-20251001,1.0
art-proof-marker,4,2911849,claude-sonnet-4-5-20250929,0.0
art-proof-marker,4,2911431,gemini-2.5-pro,1.0
art-proof-marker,4,2911428,gemini-3.5-flash,1.0
art-proof-marker,4,2911434,gemini-3.7-flash,1.0
art-proof-marker,4,2920419,gemma-4-31b-it,1.0
art-proof-marker,4,2911444,gpt-5.4-nano-2026-03-17,1.0
